,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
117,,Mid,statistics,Bachelor's Degree,,People Dimension,Johannesburg,Permanent,Full Time,2022-07-11
121,Business Analyst,Mid,,Post Graduate,,Hire Power Recruitment,Other,Permanent,Full Time,2022-07-11
122,Business Analyst,Mid,,Post Graduate,,Communicate IT,Johannesburg,Permanent,Full Time,2022-07-11
124,,Mid,,Bachelor's Degree,excel,Affinity Group,Durban,Permanent,Full Time,2022-07-11
125,Business Analyst,Mid,,Bachelor's Degree,,Tych Business Solutions,Cape Town,"Fixed Term, Temporary",Part time,2022-07-10
126,Operations Analyst,Mid,,Bachelor's Degree,excel,DGE Recruit,Johannesburg,Permanent,Full Time,2022-07-06
127,Business Analyst,Mid,,Bachelor's Degree,,CSG Recruit (PTY)LTD,Other,Temporary,Full Time,2022-07-10
128,Business Analyst,Mid,,Bachelor's Degree,,CSG Recruit (PTY)LTD,Pretoria,Permanent,Full Time,2022-07-10
129,Marketing Analyst,Mid,,Bachelor's Degree,,AGC Recruitment,Johannesburg,Permanent,Full Time,2022-07-10
130,Business Analyst,"jnr, snr",,Bachelor's Degree,,Talent Guru International (Pty) Ltd,Johannesburg,Permanent,Full Time,2022-07-10
133,Business Analyst,Mid,,Bachelor's Degree,sql,Helen Lucre Resourcing (Pty) Ltd.,Durban,Permanent,Full Time,2022-07-10
134,,Mid,,Bachelor's Degree,excel,Premier Hotels & Resorts (Pty) Ltd,Cape Town,Permanent,Full Time,2022-06-28
135,Quantitative Analyst,senior,,Bachelor's Degree,,Moving Heads Personnel,Johannesburg,Permanent,Full Time,2022-07-05
136,Quantitative Analyst,Mid,"mathematics, statistics, engineering",Bachelor's Degree,"python, excel",Tradam Transformation Solutions,Johannesburg,Permanent,Full Time,2022-07-05
137,,Mid,,Bachelor's Degree,,Gijima Holdings,Durban,"Fixed Term, Temporary",Part time,2022-07-09
138,Business Analyst,Mid,,Bachelor's Degree,,iLaunch (Pty) Ltd,Cape Town,Fixed Term,Part time,2022-07-09
139,,Mid,,Bachelor's Degree,,Dante Group Pty Ltd,Johannesburg,Permanent,Full Time,2022-07-09
140,,Mid,,Bachelor's Degree,,MH Solutions,Cape Town,Permanent,Full Time,2022-07-05
141,Operations Analyst,Mid,engineering,Bachelor's Degree,excel,Strategic Personnel,Johannesburg,Permanent,Full Time,2022-07-05
142,,Mid,information technology,Bachelor's Degree,sql,Accredited Resource Consulting Services,Pretoria,Fixed Term,Full Time,2022-07-09
143,,Mid,statistics,Bachelor's Degree,,Crayon,Durban,"Permanent, Fixed Term",Full Time,2022-07-11
144,,Mid,statistics,Bachelor's Degree,excel,AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-05
145,,Mid,,Bachelor's Degree,,Believe Resourcing PTY Ltd,Cape Town,Permanent,Full Time,2022-07-11
146,Quantitative Analyst,Mid,,Bachelor's Degree,sql,Datafin IT Recruitment,Johannesburg,Permanent,Full Time,2022-07-05
147,Test Analyst,Mid,,Bachelor's Degree,,iLaunch (Pty) Ltd,Cape Town,Fixed Term,Full Time,2022-07-08
148,Operations Analyst,Mid,,Bachelor's Degree,power bi,Tracking Talent,Johannesburg,Permanent,Full Time,2022-07-05
149,Actuarial Analyst,Mid,,Bachelor's Degree,,Provision Recruitment,Johannesburg,Permanent,Full Time,2022-07-06
150,,Mid,,Bachelor's Degree,,Liyema Consulting,Johannesburg,Fixed Term,Full Time,2022-07-11
151,Business Analyst,Mid,"information technology, information system",Bachelor's Degree,sql,Communicate IT,Johannesburg,Permanent,Full Time,2022-07-11
152,Business Analyst,Mid,,Bachelor's Degree,sql,Unique Personnel,Johannesburg,Temporary,Full Time,2022-07-05
153,Business Analyst,Mid,,Bachelor's Degree,,Express Pros Fourways,Johannesburg,Permanent,Full Time,2022-07-10
154,,Mid,,Bachelor's Degree,,PSS Recruitment,Cape Town,Permanent,Full Time,2022-07-05
155,Test Analyst,Mid,,Bachelor's Degree,excel,Bluferry Consulting,Cape Town,"Permanent, Fixed Term, Temporary","Full Time, Work from Home",2022-07-05
157,,Mid,,Bachelor's Degree,,Banqobi Consulting,Johannesburg,Permanent,Full Time,2022-07-05
158,Marketing Analyst,Mid,,Bachelor's Degree,,BA Personnel,Johannesburg,Permanent,Full Time,2022-07-05
159,Business Analyst,Mid,,Bachelor's Degree,,E-Merge IT Recruitment,Johannesburg,Temporary,Full Time,2022-07-05
160,,junior,,Bachelor's Degree,,Alec Cameron & Associates Recruitment Solutions,Durban,Permanent,Full Time,2022-07-05
162,Marketing Analyst,Mid,,Bachelor's Degree,,Crayon,Johannesburg,"Permanent, Fixed Term",Full Time,2022-07-05
163,Business Analyst,senior,engineering,Bachelor's Degree,,Pollock & Associates,Johannesburg,Permanent,Full Time,2022-07-05
164,Business Analyst,Mid,,Bachelor's Degree,excel,Network Contracting Solutions,Johannesburg,Fixed Term,Full Time,2022-07-05
165,,Mid,,Bachelor's Degree,excel,Recru-IT,Johannesburg,Permanent,Full Time,2022-07-05
166,Test Analyst,Mid,,Bachelor's Degree,,Bayer,Other,Permanent,Full Time,2022-07-05
